yc,xc1,xc2,tc1,tc2,tc3
126.29,24.12,87.17,9.34,6.23,2.61
166.64,23.82,89.17,9.34,6.23,2.61
141.08,23.99,89.42,9.34,6.23,2.61
106.1,24.67,86.67,9.34,6.23,2.61
112.93,25.23,84.42,9.34,6.23,2.61
153.35,25.92,81.67,9.34,6.23,2.61
172.8,26.42,79.42,9.34,6.23,2.61
207.9,26.91,76.08,9.34,6.23,2.61
264.81,27.43,73.42,9.34,6.23,2.61
356.5,27.66,75.33,9.34,6.23,2.61
515.84,28.28,72.92,9.34,6.23,2.61
575.76,28.35,70.58,9.34,6.23,2.61
588.53,27.92,72.75,9.34,6.23,2.61
539.75,27.22,74.58,9.34,6.23,2.61
488.04,26.62,75.58,9.34,6.23,2.61
418.47,26.32,76.58,9.34,6.23,2.61
327.97,26.03,78.75,9.34,6.23,2.61
246.44,25.84,78.83,9.34,6.23,2.61
136.8,25.8,76.83,7.1,6.49,3.32
106.53,25.62,77.17,7.1,6.49,3.32
94.2,25.32,79.17,7.1,6.49,3.32
94.2,25.03,81.17,7.1,6.49,3.32
89.99,24.73,83.17,7.1,6.49,3.32
96.87,24.42,85.17,7.1,6.49,3.32
121.76,24.12,87.17,7.1,6.49,3.32
153.57,23.82,89.17,7.1,6.49,3.32
130.35,23.99,89.42,7.1,6.49,3.32
100.73,24.67,86.67,7.1,6.49,3.32
103.33,25.23,84.42,7.1,6.49,3.32
134.5,25.92,81.67,7.1,6.49,3.32
150.19,26.42,79.42,7.1,6.49,3.32
178.72,26.91,76.08,7.1,6.49,3.32
225.61,27.43,73.42,7.1,6.49,3.32
294.77,27.66,75.33,7.1,6.49,3.32
422.34,28.28,72.92,7.1,6.49,3.32
470.95,28.35,70.58,7.1,6.49,3.32
481.91,27.92,72.75,7.1,6.49,3.32
443.48,27.22,74.58,7.1,6.49,3.32
402.8,26.62,75.58,7.1,6.49,3.32
348.1,26.32,76.58,7.1,6.49,3.32
275.39,26.03,78.75,7.1,6.49,3.32
211.02,25.84,78.83,7.1,6.49,3.32
172.47,25.8,76.83,9.26,7.65,2.89
134.81,25.62,77.17,9.26,7.65,2.89
111.57,25.32,79.17,9.26,7.65,2.89
111.07,25.03,81.17,9.26,7.65,2.89
106.11,24.73,83.17,9.26,7.65,2.89
